DestinationID;Name;CityProvince;Description;Rate ;Image;KeyMain;EntranceFee;AccommodationCost;TotalTourCost;TourPricePerPerson
11;Nhà Th? G? 000on Tum;000on Tum;M?t bi?u tu?ng c?a 000on Tum mang 000i?n 00000úc d?c dáo pha 00000?n gi?a phong cách Roman và nét van hóa Tây Nguyên;44/5;https://tse1mmbingnet/th?id=OIPRzH7A5000sQ9692U5WrfW10gHaFu&pid=Api&P=0&h=220;"""tôn giáo "" , ""tham quan"" , ""ch?p ?nh "" ,"" van hóa "" , ";20000–50000;300000–800000;200000–500000;500000–1500000
12;C?u 00000eo 000on 000lor;000on Tum;"Cây c?u 00000eo l?n và d?p nh?t ? 000on Tum, b?c qua sông Ða000 Bla, du?c bao quanh b?i nh?ng cánh d?ng lúa và núi r?ng xanh mát";46/5;https://000ontum00000ipcom/wp-content/uploads/2021/03/cau-00000eo-000on-000lor-%E2%80%98dai-lua-mau-cam-ben-dong-da000-bla-1615296514-600x600jpg;"""c?u 00000eo "" , ""ch?p ?nh "" , ""tham quan """;Mi?n phí;300000–800000;200000–600000;500000–1500000
13;Vu?n Qu?c Gia Chu Mom Ray;000on Tum;"Là 000hu b?o t?n thiên nhiên l?n nh?t Vi?t Nam, n?i b?t v?i h? sinh thái phong phú, nh?ng cánh r?ng nguyên sinh và d?ng v?t quý hi?m";45/5;https://tse3mmbingnet/th?id=OIPQOcHIfacwNqsrxuaNNlZ4gHaEr&pid=Api&P=0&h=220;"""r?ng"" , ""tham quan"" , ""ch?p ?nh "" ";50000–200000;300000–800000;200000–600000;500000–1500000
14;Ð?nh Ng?c Linh;000on Tum;"Ng?n núi cao nh?t ? Tây Nguyên, thu?c dãy 00000u?ng Son, là noi sinh s?ng c?a nhi?u loài d?ng th?c v?t quý hi?m";44/5;https://tse4mmbingnet/th?id=OIPyYzLVlMeUpU6v000_7d0gLjAHaE8&pid=Api&P=0&h=220;"""núi"" , ""thám hi?m "" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–600000;1500000–400000
15;Thác Ð?000 Tô;000on Tum;"N?m g?n th? 00000?n Ð?000 Tô, thác nu?c này hoang so và yên bình, là d?a di?m lý tu?ng d? thu giãn gi?a thiên nhiên";43/5;https://cdntgddvn/Files/2023/09/11/1546829/du-lich-da000-to-000on-tum-di-dau-5-dia-diem-duoc-yeu-thich-202309112252096063jpg;"""thác"" , ""su?i "" , ""tham quan "" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–600000;500000–1500000
16;Ðèo Ô Quy H?;Lai Châu ;"M?t 00000ong ""T? d?i d?nh dèo"" c?a Tây B?c, Ðèo Ô Quy H? n?i li?n Lào Cai và Lai Châu, n?i ti?ng v?i c?nh s?c tuy?t d?p và d? cao hùng vi";45/5;https://www000ynghidongduongvn/userfiles/images/Vietnam/Sapa/deo-o-quy-ho-sapa-000ynghidongduongvn%20(02)jpg;"""dèo"" , ""tham quan"" , ""ch?p ?nh"" ";Mi?n phí;300000–800000;200000–600000;500000–1500000
17;Ð?nh Pu Ta Leng;Lai Châu ;"Ð?nh núi cao th? hai Vi?t Nam (3049m), thu?c dãy Hoàng Liên Son, du?c m?nh danh là ""nóc nhà th? hai"" c?a Ðông Duong";46/5;https://tse4mmbingnet/th?id=OIPBiJgl7Ppi000StQvCnsbFBnQHaEc&pid=Api&P=0&h=220;"""núi"" , ""thám hi?m "" , ""ch?p ?nh "" , ""000hám phá "" ";Mi?n phí;300000–800000;200000–600000;1500000–400000
18;Cánh d?ng Mu?ng Than;Lai Châu ;"Vào mùa lúa chín, cánh d?ng Mu?ng Than r?c r? s?c vàng, t?o nên m?t b?c 00000anh thiên nhiên tho m?ng";47/5;https://tse2mmbingnet/th?id=OIP9LboGnBOwneYQW4000MB000l9gHaE000&pid=Api&P=0&h=220;"""cánh d?ng"" ,"" ch?p ?nh "" , ""tham quan "" ";Mi?n phí;300000–800000;100000–300000;500000–1500000
19;H? Th?y Ði?n Lai Châu;Lai Châu ;"H? nu?c nhân t?o 000h?ng l? du?c t?o nên t? công 00000ình Th?y di?n Lai Châu, n?m gi?a 000hung c?nh núi non tho m?ng";45/5;https://tse2mmbingnet/th?id=OIPl_QHXHqnrJUG2mNIawZdzAHaFj&pid=Api&P=0&h=220;"""h? th?y di?n "" , ""tham quan "" , "" ch?p ?nh "" ";Mi?n phí;300000–800000;200000–600000;500000–1500000
20;Ch? phiên Sìn H?;Lai Châu ;"Noi di?n ra các ho?t d?ng mua bán nh?n nh?p c?a các dân t?c Thái, H’Mông, Dao, L?";43/5;https://tse3mmbingnet/th?id=OIPDttHClSeqyAUJH2yDY5JVAHaE7&pid=Api&P=0&h=220;"""ch? "" , ""an u?ng "" , ""tham quan "" , ""van hóa """;Mi?n phí;300000–800000;200000–600000;500000–1500000
21;H? Xuân Huong;Lâm Ð?ng;"Bi?u tu?ng c?a Ðà L?t, h? n?m ngay 00000ung tâm thành ph?, bao quanh b?i r?ng thông và nh?ng vu?n hoa";47/5;https://tse3mmbingnet/th?id=OIPchmIO_bl-TWTEivpGFWdCAHaFj&pid=Api&P=0&h=220;"""H? "" , ""ch?p ?nh "" , ""tham quan"" , vui choi """;Mi?n phí;500000–200000;200000–600000;500000–1500000
22;Thi?n Vi?n 00000úc Lâm;Lâm Ð?ng;"M?t thi?n vi?n n?i ti?ng t?a l?c g?n H? Tuy?n Lâm, mang 000i?n 00000úc thanh t?nh và 000hông gian yên bình";46/5;https://tse1mmbingnet/th?id=OIP0pUp5Fpj3xerMHL6wz000j_QHaFj&pid=Api&P=0&h=220;"""chùa"" ,"" tham quan "" , ""van hóa """;20000–80000;300000–800000;100000–300000;500000–1500000
23;Ch? Ðêm Ðà L?t;Lâm Ð?ng;"Ch? dêm Ðà L?t là noi b?n có th? thu?ng th?c d?c s?n nhu bánh 00000áng nu?ng, s?a d?u nành và mua quà luu ni?m";48/5;https://tse3mmbingnet/th?id=OIPnBiR1UiYs6NlbrXhm_FL5wHaE6&pid=Api&P=0&h=220;"""ch? "" , ""an u?ng "" , ""tham quan "" , ""van hóa """;Mi?n phí;500000–200000;100000–300000;500000–1500000
24;Dinh B?o Ð?i;Lâm Ð?ng;"M?t 00000ong ba dinh th? c?a vua B?o Ð?i t?i Ðà L?t, mang phong cách 000i?n 00000úc Pháp tinh t?";45/5;https://tse3mmbingnet/th?id=OIPFGJV3cBpn9MxjuFGoEE000ZAHaE8&pid=Api&P=0&h=220;"""di tích "" , ""l?ch s? "" , ""van hóa "" ,""tham quan"" , ""ch?p ?nh """;20000–80000;500000–200000;100000–300000;500000–1500000
25;Thác Voi;Lâm Ð?ng;"T?a l?c ? Nam Ban, thác Voi hùng vi và hoang so, là noi lý tu?ng cho nh?ng ai yêu thích 000hám phá thiên nhiên";45/5;https://agotouristcom/wp-content/uploads/2022/05/thac-voi-duoc-chung-nhan-la-thang-canh-quoc-giajpg;"""thác"" , ""su?i "" , ""tham quan "" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–600000;500000–1500000
26;Ð?ng Tam Thanh;L?ng Son;Ðu?c m?nh danh là "Ð? nh?t bát c?nh X? L?ng"các nhu dá 000? thú và nhi?u di tích c? nhu tu?ng Ph?t A Di Ðà cao 2m du?c t?c t? th? 000? 15;42/5;https://cdnvn00000ipvn/cam-nang/wp-content/uploads/2017/03/Tam-Thanhjpg;"""d?ng"" , ""tham quan"" , ""thám hi?m "" , ""ch?p ?nh""";20000–80000;300000–800000;200000–600000;1500000–400000
27;Ch? Ðông 000inh;L?ng Son;"Là 00000ung tâm thuong m?i l?n nh?t ? L?ng Son, n?i ti?ng v?i các m?t hàng phong phú";45/5;https://tse2mmbingnet/th?id=OIPjIAxzffR49430SWW000ToE6wHaEx&pid=Api&P=0&h=220;"""ch? "" , ""an u?ng "" , ""tham quan "" , ""van hóa "" , ""mua s?m""";Mi?n phí;300000–800000;100000–300000;500000–1500000
28;C?a 000h?u H?u Ngh?;L?ng Son;"Ðây là c?a 000h?u qu?c t? l?n gi?a Vi?t Nam và 00000ung Qu?c, n?m 00000ên tuy?n qu?c l? 1A";47/5;https://tse1mmbingnet/th?id=OIPWf6JQTisUsMbq6-2euQe000QHaFj&pid=Api&P=0&h=220;"""tham quan"" , ""mua s?m "" , ""van hóa "" , ""ch?p ?nh """;20000–50000;300000–800000;200000–500000;500000–1500000
29;Ðèo Bông Lau;L?ng Son;Là m?t cung dèo d?p v?i nh?ng 000húc cua u?n lu?n và 000hung c?nh thiên nhiên ngo?n m?c;42/5;https://tse4mmbingnet/th?id=OIPbjd29nTPNt90j6mM3SC0qAHaEX&pid=Api&P=0&h=220;"""tham quan"" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–600000;500000–1500000
30;Chùa Tiên ;L?ng Son;"Chùa Tiên n?m 00000ên núi Ð?i Tu?ng, g?n li?n v?i nhi?u câu chuy?n huy?n tho?i và mang d?m d?u ?n Ph?t giáo";43/5;https://tse2mmbingnet/th?id=OIPFxWdyg8edX5JSQPZPlZ8dwHaE7&pid=Api&P=0&h=220;"""chùa"" ,"" tham quan "" , ""van hóa """;20000–80000;300000–800000;200000–600000;500000–1500000
31;Ð?nh Núi Fansipan;Lào Cai;Fansipan du?c m?nh danh là “Nóc nhà Ðông Duong” v?i d? cao 3147m;48/5;https://lim00000avelvn/wp-content/uploads/2020/10/tour-leo-nui-fansipan-3-1jpg;"""núi "" ,""tham quan "" , ""thám hi?m "" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–600000;1500000–400000
32;C?ng 00000?i Ô Quy H?;Lào Cai;"Ðèo Ô Quy H? là m?t 00000ong ""T? d?i d?nh dèo"" c?a Tây B?c, n?i li?n Lào Cai và Lai Châu";45/5;https://mediatechcitycloud/vietnamvn/2023/09/cong-00000oi-o-quy-ho-sapa_26-09-2022_175234433jpg;"""dèo"" , ""tham quan"" , ""ch?p ?nh"" ";Mi?n phí;300000–800000;200000–600000;500000–1500000
33;Ch? phiên B?c Hà;Lào Cai;"Ch? phiên B?c Hà n?i ti?ng v?i các m?t hàng th? c?m, nông s?n và các món an d?c 00000ung c?a ngu?i dân t?c H’Mông, Dao";43/5;https://tse1mmbingnet/th?id=OIP40008zaZgInJ000S000ftXRLz_-wHaFA&pid=Api&P=0&h=220;"""ch?"" , ""tham quan"" , ""an u?ng "" , ""mua s?m""";Mi?n phí;300000–800000;100000–300000;500000–1500000
34;Thác Tình Yêu;Lào Cai;Là m?t di?m d?n lãng m?n v?i dòng nu?c 00000ong xanh ch?y qua r?ng nguyên sinh;45/5;https://docmiendatnuoccom/wp-content/uploads/2019/07/thac-tinh-yeu-sapa-1jpg;"""thác"" , ""su?i "" , ""tham quan "" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–600000;500000–1500000
35;Ð?n Thu?ng;Lào Cai;"Là noi th? 00000?n Hung Ð?o, v? tu?ng tài ba 00000ong l?ch s? Vi?t Nam";43/5;https://52hzvn/wp-content/uploads/2023/01/31-den-thuong-lao-cai-chinh-dienjpg;"""d?n "" ,"" tham quan "" , ""ch?p ?nh "" , ""l?ch s? """;20000–80000;300000–800000;100000–300000;500000–1500000
36;Làng n?i Tân L?p;Long An;"Là 000hu r?ng 00000àm ng?p nu?c r?ng l?n, n?i ti?ng v?i con du?ng xuyên r?ng dài g?n 5000m";44/5;https://disan00000anganvn/wp-content/uploads/2021/05/lang_noi_tan_lap_18-1600x1066jpg;"""r?ng"" , ""tham quan"" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–600000;500000–1500000
37;Nhà c? 00000am C?t;Long An;Là m?t ngôi nhà c? d?c dáo v?i 120 c?t g? quý du?c ch?m 000h?c tinh x?o;45/5;https://tse4mmbingnet/th?id=OIPE5QmqrexARs000IuVpHN_f3wHaFR&pid=Api&P=0&h=220;"""tham quan "" , ""ch?p ?nh "" , ""van hóa "" , ""di tích""";20000–80000;300000–800000;100000–300000;500000–1500000
38;Chùa Tôn Th?nh;Long An;Ngôi chùa này là noi c? Nguy?n Ðình Chi?u t?ng ? và sáng tác bài van t? "Van t? nghia si C?n Giu?c";46/5;https://tse4mmbingnet/th?id=OIP4g4eE5ZOp5g9_9DlwrJZrwHaEw&pid=Api&P=0&h=220;"""chùa"" ,"" tham quan "" , ""van hóa """;20000–80000;300000–800000;100000–300000;500000–1500000
39;Sông Vàm C? ;Long An;Hai dòng sông l?n ch?y qua Long An t?o nên v? d?p sông nu?c d?c 00000ung;42/5;https://tse2mmbingnet/th?id=OIPZorRq000gh2xWA02dJByJFpQHaE000&pid=Api&P=0&h=220;"""sông"" , ""tham quan "" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–500000;500000–1500000
40;Ch? dêm Tân An;Long An;Là noi lý tu?ng d? thu?ng th?c ?m th?c d?a phuong và mua s?m các d?c s?n Long An;47/5;https://tse1mmbingnet/th?id=OIPpqR8Xc000g_RDQQn2YZLpmegHaE000&pid=Api&P=0&h=220;"""ch?"" , ""tham quan"" , ""an u?ng "" , ""mua s?m""";Mi?n phí;300000–800000;100000–300000;500000–1500000
41;Nhà th? Phú Nhai;Nam Ðinh;"Là m?t 00000ong nh?ng nhà th? l?n và c? 000ính nh?t Vi?t Nam, mang phong cách 000i?n 00000úc Gothic d?c s?c";45/5;https://photo-cms-vovworldzadnvn/w500/Uploaded/vovworld/yzfsm/2020_01_10/000pvn014_AXJUjpg;"""nhà th? "" , ""tham quan "" , ""ch?p ?nh "" ";20000–50000;300000–800000;200000–500000;500000–1500000
42;Ð?n 00000?n;Nam Ðinh;"N?m t?i phu?ng L?c Vu?ng, thành ph? Nam Ð?nh, d?n 00000?n th? các vua nhà 00000?n, g?n li?n v?i l?ch s? hào hùng c?a 00000i?u d?i này";43/5;https://tse3mmbingnet/th?id=OIPCNccGQUyOTTpBixYdfCL5wHaE7&pid=Api&P=0&h=220;"""d?n "" ,"" tham quan "" , ""ch?p ?nh "" , ""l?ch s? """;20000–80000;300000–800000;100000–300000;500000–1500000
43;Vu?n qu?c gia Xuân Th?y;Nam Ðinh;"Ðây là 000hu b?o t?n thiên nhiên n?m ? huy?n Giao Th?y, thu?c vùng h? luu sông H?ng";46/5;https://tse4mmbingnet/th?id=OIPDf000yYRBhnuiU-rR43dUeJAHaFS&pid=Api&P=0&h=220;"""r?ng"" , ""tham quan"" , ""ch?p ?nh "" ";50000–200000;300000–800000;200000–600000;500000–1500000
44;Ch? Vi?ng;Nam Ðinh;"Là phiên ch? d?c bi?t ch? di?n ra m?t l?n 00000ong nam vào dêm mùng 7, r?ng sáng mùng 8 tháng Giêng âm l?ch";46/5;https://phudaycom/wp-content/uploads/2020/01/cho-vieng-phu-day-nam-dinh-768x432jpg;"""ch?"" , ""tham quan"" , ""an u?ng "" , ""mua s?m""";Mi?n phí;300000–800000;100000–300000;500000–1500000
45;H? V? Xuyên;Nam Ðinh;"H? n?m 00000ong thành ph? Nam Ð?nh, là m?t d?a di?m lý tu?ng d? thu giãn, di d?o, thu?ng th?c 000hông gian xanh và yên bình";45/5;https://tse3mmbingnet/th?id=OIPmrQZh6uVh3jWDHuvlXNjHwHaFj&pid=Api&P=0&h=220;"""h?"" , ""tham quan "" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;100000–300000;500000–1500000
46;Làng Sen;Ngh? An;"Là m?t ngôi nhà 00000anh don so, gi?ng C?c, và nh?ng 000? v?t g?n li?n v?i th?i tho ?u c?a Bác";47/5;https://tse3mmbingnet/th?id=OIP3gHv000fVc0001000ovpdqLo2OtwAAAA&pid=Api&P=0&h=220;"""l?ch s? "" , ""tham quan "" , ""di tích"" , ""van hóa "" ";20000–80000;300000–800000;100000–300000;500000–1500000
47;Bãi bi?n C?a Lò;Ngh? An;"M?t 00000ong nh?ng bãi bi?n d?p nh?t mi?n 00000ung, C?a Lò thu hút du 000hách v?i cát 00000?ng m?n, nu?c bi?n 00000ong xanh và h?i s?n tuoi ngon";46/5;https://tse1mmbingnet/th?id=OIPhzSUzcdB1G9w2e52jf6HHAHaD-&pid=Api&P=0&h=220;"""bi?n"" , ""vui choi"" , ""ch?p ?nh"" , ""nghi du?ng """;Mi?n phí;300000–800000;300000–800000;100000–300000
48;000hu di tích 00000uông B?n;Ngh? An;"Là m?t di tích l?ch s? quan 00000?ng, noi tu?ng nh? các anh hùng li?t si dã hy sinh 00000ong cu?c 000háng chi?n ch?ng M?";45/5;https://tse3mmbingnet/th?id=OIPXdhDVeaTTt6NYVOiOOHpSAHaE000&pid=Api&P=0&h=220;"""l?ch s? "" , ""tham quan "" , ""di tích"" , ""van hóa "" ";20000–80000;300000–800000;100000–300000;500000–1500000
49;Ð?i chè Thanh Chuong;Ngh? An;"Ðu?c m?nh danh là ""d?o chè"", d?i chè Thanh Chuong là d?a di?m lý tu?ng d? ch?p ?nh và t?n hu?ng 000hông 000hí 00000ong lành";45/5;https://cdnvn00000ipvn/cam-nang/wp-content/uploads/2017/08/doi-che-thanh-chuongjpg;"""d?i"" , ""tham quan "" , ""ch?p ?nh "" ";Mi?n phí;300000–800000;200000–500000;100000–300000
50;Hang Th?m ?m;Ngh? An;"Là m?t hang d?ng l?n, v?i nhi?u th?ch nhu 000? ?o, hình thù d?c dáo";43/5;https://tse1mmbingnet/th?id=OIPdqYi6NCHovDo0Srdp6NMwQHaE8&pid=Api&P=0&h=220;"""hang d?ng "" , ""thám hi?m "" , ""ch?p ?nh "" ";20000–50000;300000–800000;200000–600000;1500000–400000
51;00000àng An;Ninh Bình;"Là Di s?n Van hóa và Thiên nhiên th? gi?i, 00000àng An n?i b?t v?i c?nh núi non hùng vi và h? th?ng hang d?ng d?c dáo";46/5;https://dulichninhbinhcomvn/mypicture/images/2020/10/00000ang-An-2jpg;"""tham quan "" , ""ch?p ?nh "" , ""van hóa "" , ""di tích""";20000–80000;300000–800000;200000–600000;500000–1500000
52;Tam C?c;Ninh Bình;"Ðu?c m?nh danh là ""v?nh H? Long 00000ên c?n"", v?i c?nh s?c thiên nhiên tuy?t d?p c?a núi dá vôi, cánh d?ng lúa, và dòng sông Ngô Ð?ng";47/5;https://tse2mmbingnet/th?id=OIPe1wQWQ7OBNItnMauRi6uwgHaEo&pid=Api&P=0&h=220;"""tham quan "" , ""ch?p ?nh "" , ""van hóa "" , ""di tích""";20000–80000;1500000–500000;200000–500000;300000–700000
53;C? dô Hoa Lu;Ninh Bình;"Là 000inh dô c?a nu?c Ð?i C? Vi?t du?i 00000i?u Ðinh và Ti?n Lê, Hoa Lu luu gi? nhi?u di tích l?ch s? quan 00000?ng";45/5;https://tse3mmbingnet/th?id=OIPH000YPnw54Dsgh0XZTq000P000yQHaE7&pid=Api&P=0&h=220;"""l?ch s? "" , ""tham quan "" , ""di tích"" , ""van hóa "" ";20000–80000;300000–800000;100000–300000;500000–1500000
54;Vu?n qu?c gia Cúc Phuong;Ninh Bình;"Là vu?n qu?c gia d?u tiên c?a Vi?t Nam v?i h? d?ng th?c v?t phong phú, nh?ng cây c? th? nghìn nam tu?i và các hang d?ng ti?n s?";48/5;https://tse2mmbingnet/th?id=OIPV7YRaVEqqQndhpDcL0tNSQHaD8&pid=Api&P=0&h=220;"""r?ng"" , ""tham quan"" , ""ch?p ?nh "" ";50000–200000;300000–800000;200000–600000;500000–1500000
55;H? Ð?ng Chuong;Ninh Bình;"H? Ð?ng Chuong là m?t h? nu?c t? nhiên n?m gi?a r?ng thông, r?t yên bình và tho m?ng";43/5;https://dulichdiaphuongcom/imgs/tinh-ninh-binh/ho-dong-chuongjpg;"""H? "" , ""ch?p ?nh "" , ""tham quan"" , vui choi """;Mi?n phí;300000–800000;200000–600000;500000–1500000
56;V?nh Vinh Hy;Ninh Thu?n;"M?t 00000ong b?n v?nh d?p nh?t Vi?t Nam, Vinh Hy gây ?n tu?ng b?i nu?c bi?n 00000ong xanh, bãi cát 00000?ng m?n, và các r?n san hô r?c r?";46/5;https://tse1mmbingnet/th?id=OIP1gJ08quIQVapIDmYLV1GRgHaE7&pid=Api&P=0&h=220;"""v?nh "" ,""tham quan "" , ""ch?p ?nh "" , ""nghi du?ng "" , ""vui choi""";Mi?n phí;300000–800000;300000–800000;100000–300000
57;Vu?n qu?c gia Núi Chúa;Ninh Thu?n;"Là 000hu b?o t?n thiên nhiên v?i h? sinh thái r?ng 000hô h?n d?c dáo, du?c UNESCO công nh?n là 000hu d? 00000? sinh quy?n th? gi?i";47/5;https://mediamiavn/uploads/blog-du-lich/vuon-quoc-gia-nui-chua-000hu-du-00000u-sinh-quyen-moi-cua-the-gioi-1-1658800083jpg;"""r?ng"" , ""tham quan"" , ""ch?p ?nh "" ";50000–200000;300000–800000;200000–600000;500000–1500000
58;Tháp Po 000long Garai;Ninh Thu?n;"Ðây là noi th? vua Po 000long Garai, th? hi?n 000i?n 00000úc và ngh? thu?t diêu 000h?c tinh x?o c?a ngu?i Cham";45/5;https://tse3mmbingnet/th?id=OIPLO2tIYILI_ngw7000xfq0L7AHaE5&pid=Api&P=0&h=220;"""tháp "" , ""tham quan "" , ""ch?p ?nh "" , ""di tích """;20000–80000;300000–800000;100000–300000;500000–1500000
59;Vu?n nho Ninh Thu?n;Ninh Thu?n;Là các vu?n nho n?i ti?ng v?i nhi?u s?n ph?m nho du?c s?n xu?t t?i dây;42/5;https://tse2mmbingnet/th?id=OIP6FjDfpDUcJ0jZrJAVJ000VGQHaE000&pid=Api&P=0&h=220;"""tham quan"" , "" an u?ng , ""mua s?m "" , ""ch?p ?nh "" ";20000–50000;300000–800000;200000–500000;500000–1500000
60;H? Ba B?;Ninh Thu?n;"Là h? nu?c m?n l?n ? Ninh Thu?n, noi sinh s?ng c?a nhi?u loài th?y s?n quý hi?m";45/5;https://tse2mmbingnet/th?id=OIPtZEynIwFJn000OPg000iAntpigHaE000&pid=Api&P=0&h=220;"""H? "" , ""ch?p ?nh "" , ""tham quan"" , vui choi """;Mi?n phí;300000–800000;100000–300000;500000–1500000
61;Ð?n Hùng;Phú Th?;"Là 000hu di tích l?ch s? qu?c gia d?c bi?t, noi th? các vua Hùng – nh?ng ngu?i d?ng nu?c d?u tiên c?a dân t?c Vi?t Nam";47/5;https://tse4mmbingnet/th?id=OIP14_huh2INyBfjWTu11d8hAHaDX&pid=Api&P=0&h=220;"""d?n "" ,"" tham quan "" , ""ch?p ?nh "" , ""l?ch s? """;20000–80000;300000–800000;100000–300000;500000–1500000
62;Làng c? Hùng Lô;Phú Th?;"N?i ti?ng v?i các ngôi nhà c? hàng 00000am nam tu?i, cùng các ngh? 00000uy?n th?ng nhu làm bánh chung, bánh gi?y";45/5;https://tse1mmbingnet/th?id=OIPPuN6PGPDxH26j32lV3PDNwHaFj&pid=Api&P=0&h=220;"""làng c? "" , ""tham quan "" , ""l?ch s? "" , ""ch?p ?nh """;Mi?n phí;300000–800000;200000–500000;500000–1500000
63;Ð?o Ng?c Xanh;Phú Th?;"Là 000hu du l?ch sinh thái 000?t h?p ngh? du?ng, v?i c?nh quan thiên nhiên 00000ong lành, công viên nu?c, 00000ò choi c?m giác m?nh và 000hu su?i nu?c nóng";47/5;https://tse1mmbingnet/th?id=OIP7efND2yzFvvpe000QnvS52ygHaEb&pid=Api&P=0&h=220;" ""tham quan "",""ch?p ?nh"" , ""nghi du?ng"" , ""vui choi"" , "" an u?ng """;300000–800000;300000–800000;200000–500000;100000–300000
